Date,HomeTeam,AwayTeam,FTR,FTHG,FTAG,B365H,B365D,B365A,idmatch,FTRfrench
2016-12-17,Rennes,Bastia,A,1,2,1.8,3.4,4.75,Rennes-Bastia,2
2016-12-17,Toulouse,Nancy,D,1,1,1.91,3.2,4.33,Toulouse-Nancy,N
2016-12-18,Caen,Metz,H,3,0,1.75,3.5,4.75,Caen-Metz,1
2016-12-18,Marseille,Lille,H,2,0,2.05,3.2,3.75,Marseille-Lille,1
2016-12-18,Monaco,Lyon,A,1,3,1.83,3.75,4,Monaco-Lyon,2
2016-12-18,Nice,Dijon,H,2,1,1.53,4.2,5.75,Nice-Dijon,1
2016-12-21,Bastia,Marseille,A,1,2,3.2,3.1,2.4,Bastia-Marseille,2
2016-12-21,Bordeaux,Nice,D,0,0,2.7,3.1,2.8,Bordeaux-Nice,N
2016-12-21,Dijon,Toulouse,H,2,0,2.5,3.2,3,Dijon-Toulouse,1
2016-12-21,Lille,Rennes,D,1,1,2.05,3.2,4,Lille-Rennes,N
2016-12-21,Lyon,Angers,H,2,0,1.44,4.5,7.5,Lyon-Angers,1
2016-12-21,Metz,Guingamp,D,2,2,3.4,3.1,2.3,Metz-Guingamp,N
2016-12-21,Monaco,Caen,H,2,1,1.25,6,12,Monaco-Caen,1
2016-12-21,Nantes,Montpellier,H,1,0,2.25,3.2,3.4,Nantes-Montpellier,1
2016-12-21,Paris SG,Lorient,H,5,0,1.18,7.5,15,Paris SG-Lorient,1
2016-12-21,St Etienne,Nancy,D,0,0,2,3.1,4.33,St Etienne-Nancy,N
2017-01-13,Lille,St Etienne,D,1,1,2.05,3.1,4.2,Lille-St Etienne,N
2017-01-14,Angers,Bordeaux,D,1,1,2.8,3,2.75,Angers-Bordeaux,N
2017-01-14,Lorient,Guingamp,H,3,1,2.45,3.2,3,Lorient-Guingamp,1
2017-01-14,Montpellier,Dijon,D,1,1,1.8,3.5,4.75,Montpellier-Dijon,N
2017-01-14,Nancy,Bastia,H,1,0,1.95,3.1,4.75,Nancy-Bastia,1
2017-01-14,Rennes,Paris SG,A,0,1,7,4,1.53,Rennes-Paris SG,2
2017-01-14,Toulouse,Nantes,A,0,1,2.05,3.1,4.1,Toulouse-Nantes,2
2017-01-15,Caen,Lyon,H,3,2,4.75,3.75,1.75,Caen-Lyon,1
2017-01-15,Marseille,Monaco,A,1,4,3,3.3,2.4,Marseille-Monaco,2
2017-01-15,Nice,Metz,D,0,0,1.5,4.2,7,Nice-Metz,N
2017-01-18,Nantes,Caen,H,1,0,2,3.4,4,Nantes-Caen,1
2017-01-20,Bastia,Nice,D,1,1,3,3.1,2.55,Bastia-Nice,N
2017-01-21,Bordeaux,Toulouse,H,1,0,2.1,3.25,3.8,Bordeaux-Toulouse,1
2017-01-21,Dijon,Lille,D,0,0,3,3.1,2.55,Dijon-Lille,N
2017-01-21,Guingamp,Rennes,D,1,1,2.3,3.1,3.4,Guingamp-Rennes,N
2017-01-21,Metz,Montpellier,H,2,0,3.1,3.2,2.4,Metz-Montpellier,1
2017-01-21,Nantes,Paris SG,A,0,2,10,4.33,1.4,Nantes-Paris SG,2
2017-01-22,Lyon,Marseille,H,3,1,1.73,3.75,5,Lyon-Marseille,1
2017-01-22,Monaco,Lorient,H,4,0,1.33,5,10,Monaco-Lorient,1
2017-01-22,St Etienne,Angers,H,2,1,1.85,3.4,4.75,St Etienne-Angers,1
2017-01-27,Marseille,Montpellier,H,5,1,1.67,3.75,5.5,Marseille-Montpellier,1
2017-01-28,Angers,Metz,H,2,1,2,3.2,4.2,Angers-Metz,1
2017-01-28,Bastia,Caen,D,1,1,2.25,3.1,3.5,Bastia-Caen,N
2017-01-28,Lorient,Dijon,A,2,3,2.05,3.5,3.6,Lorient-Dijon,2
2017-01-28,Lyon,Lille,A,1,2,1.45,4.33,7.5,Lyon-Lille,2
2017-01-28,Nancy,Bordeaux,A,0,2,2.63,3,3,Nancy-Bordeaux,2
2017-01-28,Rennes,Nantes,D,1,1,2.2,3.1,3.6,Rennes-Nantes,N
2017-01-29,Nice,Guingamp,H,3,1,1.95,3.4,4.2,Nice-Guingamp,1
2017-01-29,Paris SG,Monaco,D,1,1,1.67,4,5,Paris SG-Monaco,N
2017-01-29,Toulouse,St Etienne,A,0,3,2.3,3,3.6,Toulouse-St Etienne,2
2017-02-03,Metz,Marseille,H,1,0,4.33,3.6,1.85,Metz-Marseille,1
2017-02-04,Bordeaux,Rennes,D,1,1,1.91,3.4,4.33,Bordeaux-Rennes,N
2017-02-04,Dijon,Paris SG,A,1,3,11,5.5,1.3,Dijon-Paris SG,2
2017-02-04,Guingamp,Caen,A,0,1,1.95,3.5,4,Guingamp-Caen,2
2017-02-04,Lille,Lorient,A,0,1,1.73,3.8,4.75,Lille-Lorient,2
2017-02-04,Monaco,Nice,H,3,0,1.53,4,6.5,Monaco-Nice,1
2017-02-04,Montpellier,Bastia,H,2,1,1.8,3.6,4.5,Montpellier-Bastia,1
2017-02-05,Nantes,Nancy,A,0,2,2.05,3.1,4.2,Nantes-Nancy,2
2017-02-05,St Etienne,Lyon,H,2,0,3.6,3.4,2.1,St Etienne-Lyon,1
2017-02-05,Toulouse,Angers,H,4,0,2.1,3.2,3.8,Toulouse-Angers,1
2017-02-07,Caen,Bordeaux,A,0,4,2.5,3.2,3,Caen-Bordeaux,2
2017-02-07,Montpellier,Monaco,A,1,2,4.6,3.8,1.75,Montpellier-Monaco,2
2017-02-07,Paris SG,Lille,H,2,1,1.2,6.5,15,Paris SG-Lille,1
2017-02-08,Angers,Rennes,D,0,0,2.5,3,3.2,Angers-Rennes,N
2017-02-08,Lorient,Toulouse,D,1,1,2.3,3.2,3.3,Lorient-Toulouse,N
2017-02-08,Lyon,Nancy,H,4,0,1.4,4.75,8,Lyon-Nancy,1
2017-02-08,Marseille,Guingamp,H,2,0,1.7,3.75,5.25,Marseille-Guingamp,1
